职位,职位诱惑,薪资,工作地点,工作经历,学历要求,工作种类,工作描述
Python开发工程师,系统开发,13k-26k,北京,经验1-3年,本科及以上,全职,1.和业务团队一起持续优化线上系统，并进行规划以及负责系统需求分析、架构设计、模块开发；2.参与设计和实现数据业务监控系统、自动部署系统、集群管理系统、数据资产管理系统等；3.设计并开发实现适用于公司环境的标准化自动化工具，持续提升工作效率；4.对互联网行业技术敏感度高且细致，善于思考，乐于发现，对解决具有挑战性问题充满激情。 职位要求1.有比较丰富的Linux系统使用经验，除python外，熟练使用以下编程语言中的1种以上为加项：C/C++、Java、Php、Ruby、Shell、Perl2.对主流数据库，如MySQL、PostgresSql、MongoDB等，有使用和相关开发经验；      3.了解和掌握一些通用技术的原理，比如tcp/http/snmp等协议规范等等；4.具备顺畅的沟通能力和主动的学习意识。
Python开发工程师,"13薪,年终奖,公司福利好,公司氛围好",15k-30k,深圳,经验3-5年,本科及以上,全职,"职位描述负责web项目后端的研发，架构设计，前沿技术研究等等任职要求计算机或相关专业精通HTTP，REST等精通一门以上web后端编程语言：Go, Python, Java, Node.js, Kotlin等熟悉大型web应用系统架构，数据库，缓存，消息队列等技术。技术控，热爱代码，对新兴技术有强烈兴趣有微服务，docker, kubernetes经验者优先有DevOps, 持续交付经验优先"
103-中级Python开发工程师,各项补贴 带薪年病假 弹性上下班,15k-25k,上海,经验3-5年,本科及以上,全职,岗位职责：1、参与运维管理平台整体架构设计（接口文档、通讯协议、队列机制、持久化数据等）负责开发以下主要模块：发布变更管理，CMDB，事件管理系统、资产管理系统、自动化管理系统、监控/报表系统；2、完善并遵守团队的编码规范，编写高质量、结构清晰、易读、易维护的代码 。职位要求：1、计算机相关专业，本科及以上，两年及以上 python 开发经验，有自动化运维架构设计或者开发经验更佳；2、熟悉 flask/django、restful、jsonrpc、message queue、sqlalchemy 等框架；熟悉mysql，mangodb，redis；3、有至少一种MQ的经验；4、熟悉 linux 环境下的维护和开发工作，能熟练使用 git；5、熟悉以下关键字的优先：devops/ansible/saltstack/elk；6、性格沉稳，吃苦耐劳，良好的口头和书面表达能力，善于与人沟通，工作态度积极，喜欢钻研新技术，乐意承担新技术调研任务。7、有过openstack开发及运维者优先，在开源社区活跃并有积极贡献者优先。
Python开发工程师,"五险一金,周末双休,弹性工作",10k-20k,深圳,经验1-3年,本科及以上,全职,技能要求：1.需具备2年以上Python开发经验，参与过大型高并发网站开发和实施工作；2.精通Python语言，熟练使用常用模块，使用过Flask/Django/Tornado等web框架；3.具有良好的自学能力，能通过研究开源项目来解决开发中遇到的难题；4.熟悉以下技术者优先考虑：Redis、Memcache、MongoDB、Hadoop。5.有前端（HTML、CSS、JavaScript、JQuery、Bootstrap）开发经验是加分项；6.数据挖掘，大数据，爬虫工作经验者优先7.有想法 创新能力 乐于分享8.良好的英文文档阅读能力 计算机 数学等相关专业 数据结构和算法基础良好
Python开发工程师,"靠谱团队,项目给力,福利多多",8k-12k,深圳,经验1-3年,大专及以上,全职,"岗位职责：1. 负责公司各个网站系统平台建设2. 负责各个平台的日常维护任职要求：1. 大专及以上学历，计算机相关专业2. 熟练使用pythong，熟悉Django、webpy、flask等框架，构建过nginx+uWSGI+python的web-services者优先；3. 熟悉linux，shell基本命令4. 开发过爬虫相关优先，具备快速分析问题解决问题的能力5. 有强烈的上进心和求知欲，善于学习和运用新知识, 保持对新技术的热情福利待遇：5险1金+重大意外险+全勤奖+季度团建+运动健身补贴+下午茶+加班零食+项目奖金+年终奖+带薪年假+各种节日礼品+结婚礼金+生育礼金+ 各种国家法定假日+组织外出旅游聚餐等 。"
python开发工程师,"福利待遇高,平台发展好,前沿行业",12k-20k,深圳,经验不限,本科及以上,全职,工作职责：1. 负责服务器端软件的研发工作，包括服务器端需求沟通，架构设计，核心技术研发，线上服务维护等；2. 帮助构建机器学习服务框架；3. 学习和研究新技术以满足产品的需求；4. 负责软件开发过程中的问题分析和总结，提供建议帮助改善研发流程；5. 和产品/测试/运营进行密切沟通，能够根据需求提出合理技术方案；岗位职责：1．全日制本科以上学历，计算机相关专业，2年以上工作经验2．熟练使用Python，有良好的代码规范；3．熟练使用MySQL、MongoDB、Redis；4．对软件工程和编程技术有较深理解，具备服务器端开发经验，熟悉网络协议和网络开发，具备全栈开发经验者优先；5.  有hadoop，hbase，spark，mapreduce等大数据工具使用经验优先；6.  熟悉机器学习算法及具备实践经验者优先；7.  熟悉Web前端开发者优先；8.  强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长；9.  具有强烈的团队协作意识，高度的责任感，对工作积极严谨，逻辑思维能力强，有较强学习和创新能力。
python,金融证券行业，前景广阔，发展好。,14k-17k,深圳,经验3-5年,大专及以上,全职,"1.熟悉Django一年以上，项目经验涉及核心模块，python经验3年以上2.负责后台开发，主流Django框架3.python技术基础扎实，有开发负责人发展潜力。中级满足1，2要求即可高级满足1,2,3要求 "
python开发工程师,"仿真模型,六险一金,节日福利,法定假期",10k-17k,深圳,经验3-5年,大专及以上,全职,需要的技能：以Python算法开发为主，兼具大数据和数据库相关能力。 具体技能需求：A，Python算法方面（1）      主要是Python数据开发和算法实现方向，不是软件、硬件及可视化等方向；至少有2年以上的实际开发经验；（2）      精通Python中NumPy、Pandas、Queue、collections、networkx等等关于数据开发和建模相关库的使用；（3）      精通最短路径、规划求解、排队算法等数学算法，并且利用Python完成相关算法的实现B，大数据和数据库相关能力（1）      有建表能力，完成过百万级以上的多个数据表的建立，懂得建表模型（设计表与表的关系）；（2）      有SQL或者Hive数据（其他相关也可以）开发能力，可以在大数据平台上进行数据查询、数据计算和建表等开发工作；（3）      精通Python中数据库的读取，并且有能力完成嵌套的SQL等语句优化，实现数据库交互代码性能的最优化；
Python开发工程师,"六险一金,领导好,独角兽公司,弹性工作",20k-30k,上海,经验3-5年,本科及以上,全职,"工作职责：1.负责云计算后台产品的研发与运营；2.负责云计算产品的后台管理系统研发。 职位要求：1.本科及以上学历，计算机相关专业，五年以上后台开发工作经验；2. 熟悉Linux/Unix平台上的Python开发；3. 熟悉关系型数据库，具备sql调优能力，了解nosql优先；4.具备良好的分析解决问题能力,能独立承担任务和有系统进度把控能力;5.有良好的团队合作能力,富有工作激情，善于沟通,热爱开发事业。"
Python工程师,"五险一金,免费午餐,饮料零食,团建、旅游",10k-20k,北京,经验1-3年,本科及以上,全职,工作职责：1、基于前沿的机器学习技术，开发可供不同行业、场景使用的大规模线上推荐系统；2、针对具体的场景挑战，研发新的推荐策略和算法，并不断优化使之在效果和性能上达到行业最高标准；3、基于当前服务的客户遇到的实际问题，进行分析，找到提高整体效果的策略和算法改进方案。  岗位要求：1、985、211院校计算机相关专业，3年或以上工作经验；2、熟悉大规模数据存储及分析系统，如Hadoop/ElasticSearch 系列；3、熟悉机器学习和数据挖掘的原理和算法，如NLP/DNN系列；4、有推荐系统在线、离线计算相关开发经验者优先；5、有C++研发经验者优先；6、有较好的团队协作能力，对技术有极客精神；7、善于学习新知识，动手能力强。
python开发工程师,"五险一金,年度体检,年度旅游,年终福利",12k-20k,深圳,经验3-5年,大专及以上,全职,岗位职责：1.基于Python web框架(django、flask、sanic等)完成后端api开发；2.熟悉gevent中的WSGI SERVER的实现；3.基于Docker 部署与管理后端服务；4.负责/参与架构设计、重构、优化；5.负责/参与项目或系统模块的研发工作，包括需求分析、设计、编码、测试等环节；6.业务需求分析、设计以及功能开发；任职要求：1.三年以上互联网企业服务器端开发工作经验；2.熟悉使用数据结构和基本算法；3.熟悉Python，有三年以上Python 后端开发工作经验，有良好的编码习惯；4.有Django、Flask项目的开发经验；5.熟悉关系型数据库的设计与使用；6.熟悉http协议的基本概念和原理，熟悉restful接口的设计与实现；7.熟悉Web后端程序的调试与测试；8.有大型项目开发经验者优先；
python高级开发工程师,"时间自由,环境轻松,晋升空间大,创业公司",4k-8k,成都,经验3-5年,大专及以上,全职,"职位信息1、负责用户体系程序设计、开发，针对运营、产品需求协助项目负责人制定开发计划；2、根据产品的需求，分解需求并完成相应的开发和测试;3、负责分析业务领域比较复杂的问题，根据业务需求选择技术解决方案。任职要求:- 精通 Python 语言，2 年以上的 Python 语言应用开发经验- 熟练掌握主流的 Python 框架，django（优先）, django-cms, flask- 熟悉微服务开发流程以及常用开源框架- 熟悉 MySQL 数据库的开发、应用与性能优化，同时有 NoSQL（Redis 与 MongoDB）实际经验- 熟悉服务器端应用架构与优化，了解高可用、容灾、负载均衡、缓存等技术及原理- 熟悉主流云平台（阿里云、AWS、Google 云平台），有云平台项目部署经验，及应用云平台组件构建系统服务经验- 精通 Linux 操作系统，熟悉 Ubuntu, CentOS 等- 熟悉 Nginx 等服务器软件- 了解 DNS 原理和配置优先- 了解Thrift RPC框架优先"
Python开发工程师,"全额保险,自助午餐,核心业务,大牛同事",18k-35k,北京,经验3-5年,本科及以上,全职,岗位职责：1、参与基于大数据的分布式机器学习平台的设计与构建；2、紧跟业界前沿，针对不断增长的业务需求和算法多样性创新提供技术解决方案；3、对机器学习平台性能与可扩展性进行持续及深度优化；4、负责管理平台及后端应用的开发维护及不断优化。任职要求：1、计算机、数学、统计学或相关专业，本科及以上学历；2、熟练掌握Python编程语言，熟悉Django等主流Web框架；3、熟悉常见的机器学习算法，逻辑回归、SVM、决策树、贝叶斯以及各种深度学习网络包括CNN、RNN、 LSTM等；4、熟练使用scikit-learn、TensorFlow等主流深度学习框架；5、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先。
Python开发,"周末双休,团建活动",9k-18k,北京,经验3-5年,大专及以上,全职,"岗位职责负责后台服务设计和开发；负责后台数据库设计和实现。岗位要求： 1.计算机软件及相关专业本科及以上学历;2.具备unix、linux下C/C++开发经验,熟练一门以上脚本语言(如python等)；3.具备模块化、分层等系统设计思想、系统监控和调优能力;4.熟悉mysql或者其他大型数据库,有空间数据库设计管理经验者优先;5.工作有激情、具备责任心、良好的沟通技巧和团队合作精神。"
python工程师,"五险一金,年终奖,项目奖",8k-15k,成都,经验3-5年,本科及以上,全职,"岗位职责：  1.维护开发、测试、试演以及运营环境；   2.对公司级服务器的日常管理维护；   3.设计并创立持续集成方案；   4.实现并管理产品的持续交付相关的系统和手段；   5.设计，管理，维护自动化运营流程；   6.在一个敏捷开发环境，和Dev，QA等团队紧密合作，提高生产、交付效率。    任职要求：1. 本科及以上，计算机相关专业；2. 有配置管理工具使用经验，如GitLab;3. 熟悉Linux系统，并熟练Linux下业务环境和应用部署及运维监控；4. 有持续集成工具经验，熟悉常用持续工具，如Jenkins；5. 熟悉python和shell，在CI/CD或日常维护中通过脚本实现相关功能；6. 有系统和IT运维经验、有高可靠性运行经验；7. 自我激励，结果导向，能解决问题；8. 有OpenStack,Kubernetes开发、使用、运维经验者优先。 "
Python,爬虫,25k-50k,北京,经验5-10年,本科及以上,全职,"工作职责：1. 负责设计和开发分布式的网络爬虫应用，进行互联网相关信息的抓取和分析；2. 设计策略和算法，提升网页抓取的效率和质量，进一步解决系统的网页排重、垃圾控制、资源划分等问题；3. 负责其他运营类后台需求。岗位职责：1. 计算机、信息技术或相关专业本科或以上学历；2. 精通python开发，精通Linux、网络编程、shell等脚本语言3. 精通网页抓取原理及技术，精通从结构化的和非结构化的数据中获取信息者优先；4. 具备良好的学习能力，对互联网有很强的求知欲5. 有良好的合作意识和自我驱动力，能主动承担模糊任务,抗压能力"
高级Python开发工程师,"大牛带你飞,零食不断,过亿用户",25k-50k,上海,经验3-5年,本科及以上,全职,"职位职责： 1、负责社交类App服务器端研发工作；2、深入发掘和分析业务需求，撰写技术方案和系统设计；3、根据产品需求，进行系统设计和编码；4、持续对系统架构进行改造和优化；详细要求：1、三年以上开发经验，一年以上的Python开发经验；2、具备良好的基本功，熟练使用基本的数据结构和算法，深入理解多线程、socket等相关技术；3、具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；4、熟练掌握Django, Tornado，Sqlalchemy，Celery等主流框架，深入理解框架实现原理及特性；熟练使用python的常用库 5、熟悉Python的高级特性，深入理解各种设计模式和应用场景。 6、有大规模分布式系统的开发和高可用相关的实践经验，具备设计复杂系统的能力；7、熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；8、熟练掌握一种以上非关系型数据库，如Redis, Cassandra，理解其使用场景及限制；9、熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理；10、熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；11、有以下经验者优先：1、具有golang实际工作经验；2、具有大规模分布式系统的调优经验；3、熟悉大规模分布式系统架构设计，熟悉CAP、Quorum、Consistent Hashing等原理和算法；"
高级Python工程师,"大平台,氛围好",25k-35k,北京,经验5-10年,本科及以上,全职,"岗位职责：1.能够深刻理解基本业务、开发标准、开发流程等从业必需知识并不断优化2.能够独立主导研发组系统级别的需求开发3.能够快速定位系统的核心问题，解决技术上的疑难杂症4.能够熟悉产品线的业务，在此基础上对业务需求提出改进和优化，对系统业务正常开展提供保障5.能够熟悉系统架构，对难点技术进行攻关，对现有的技术进行升级改造，对系统进行强有力的技术支撑6.能够指导团队成员，通过技术分享等手段提升整个团队的研发产出任职要求：1. 熟悉主流技术架构原理，了解技术架构常用设计模式、微服务技术2. 熟悉与系统架构相关的其他知识：如各种操作系统、数据库、开发语言、软件工程、设计模式、系统测试、硬件、网络等3. 熟练掌握常用的Python开发框架和服务器，如Flask ,Tornado, AioHTTP, Django, Nginx, uWSGI4.  熟悉SOA AOP设计思想，熟悉分布式系统基础设施中常用的技术、缓存（如Redis ）、消息中间件(如Rabbit MQ、rocketMQ、Kafka )5. 熟悉高并发、高可靠性系统的设计、多线程、多进程、协程、监控和运维，如负载均衡系统、集群和应用监控、系统容量评估、流量控制、性能优化、故障排查、日志收集和分析等6. 熟悉各种Web前端技术，包括HTML5、XML、Ajax、CSS、Java script、JQuery等7. 熟悉Maven、Jenkins、Git等项目配置、代码管理和集成工具8. 熟悉规范化的软件开发过程，熟悉单元测试相关技术9. 熟悉SAAS业务逻辑和关键点，熟悉项目全流程关键点10. 具备指导新人、技术培训的能力，具备目标规划、策略设计，并有效推进团队成员按时保质完成工作目标的管理能力"
高级Python开发工程师,六险一金，弹性工作，免费三餐，租房补贴，带薪休假，休闲下午茶，扁平管理，健身瑜伽，过亿用户，职业大牛，晋升空间，团队氛围好，优厚薪资,25k-40k,北京,经验3-5年,本科及以上,全职,
资深python研发工程师,"发展空间大,牛人多,弹性工作制,福利好",15k-30k,北京,经验3-5年,本科及以上,全职,"岗位职责：1、负责机器学习一站式平台的架构设计和研发工作；2、设计并优化分类，聚类，回归等机器学习常用场景的全流程，为不同行业真实的机器学习业务提供支撑；3、基于具体场景调研并解决机器学习过程里遇到的算法和技术难题；4、设计并开发自然语言处理，深度学习相关的组件和服务。任职要求：1、计算机/软件相关专业毕业，两年以上工作经验，参与过机器学习系统/数据分析挖掘系统/推荐系统的研发；2、精通Java/Scala/Python其中至少一门编程语言，有较强的开发能力；3、对机器学习算法有较深入的了解，参加过机器学习竞赛有加分；4、熟悉Hadoop/Spark有加分；5、熟悉传统的机器学习工具，如Weka, Orange，scikits.learn有加分。"
python工程师,周末双休 免费体检 员工旅游 五险一金,8k-14k,深圳,经验1-3年,本科及以上,全职,1.本科及以上学历，一年意思python开发经验，熟练使用python预约；  2.具有服务器端开发工地，熟悉数据结构、算法、设计模式、http协议；3.熟悉mysql、sqlserver等数据库；                      4.参与过数据分析挖掘系统、推荐系统的研发、机器学习系统工作经验优先；                                  5.能按时完成本职工作或临时交代的其他任务
python开发工程师,"弹性工时,年度体检,五险一金",6k-12k,武汉,经验1-3年,本科及以上,全职,1.本科以上学历，1年以上相关经验，211或者计算机专业优先2.熟练掌握python语言编程，精通常用Python库3.能够独立完成相关功能模块的架构设计并输出设计方案4.对shell，bat脚本语言熟练运用，对linux，windows操作系统精通5.具备良好的代码编程习惯6.有过大型系统运维部署脚本经验者优先7.对docker部署有一定项目经验并熟练运用
python工程师,技术前景好 团队nice,10k-20k,杭州,经验1-3年,大专及以上,全职,任职要求：1、具备1年以上的python开发经验；2、熟悉linux操作命令，linux服务器的管理；3、熟悉数据库相关的原理；4、了解Python基础和相关计算机基础理论；5、沟通顺畅、学习能力佳，聪明
Python开发工程师,"六险一金,弹性工作制,股票期权,饭补",8k-16k,成都,经验3-5年,本科及以上,全职,"职责描述：1、量化交易系统后端代码编写2、完善产品架构3、理解产品需求，配合团队工作4、解决疑难问题任职要求：1、本科以上学历,2年以上开发经验；2、精通Python语言；3、熟悉Mysql/Redis等一种或多种开源数据库；4、熟悉Linux环境开发；5、算法和数据结构基础扎实；6、性能意识强，熟悉多线程编程；8、认真努力、有责任心9，学习能力强，愿意学习新事物 "
高级python研发工程师,六险一金，高薪期权，弹性工作，租房补贴,20k-40k,北京,经验1-3年,本科及以上,全职,
Python程序员,五险一金，双休，班车接送，免费早餐,10k-20k,厦门,经验3-5年,本科及以上,全职,岗位职责：1、负责游戏服务端功能的实现和业务开发；2、协助底层搭建和系统重构，维护系统的稳定运转；3、与客户端、策划沟通协调BUG修复及版本开发。任职要求：1、2年以上python开发使用经验，了解多种py框架或网络服务编程；2、对数据结构、OOP有扎实的基础，了解常用设计模式；3、熟悉大部分软件工程管理工具；4、有良好的编码习惯和重构技巧；5、愿意学习新的框架和编程语言；6、有良好的产品意识，热爱游戏。
Python开发工程师,最高19薪 独角兽公司 学习型团队,20k-40k,北京,经验3-5年,本科及以上,全职,职位描述：1 瓜子二手车后台相关服务端的研发和维护，不断提高代码质量、可扩展性和可维护性。2 根据公司产品需要不断提高产品用户体验和更好实现业务目标。3 根据技术部门要求完成技术研究工作，并输出研究成果和落地工作。4 根据产品需要完成项目功能开发；5 参与工作相关技术的研究，提升团队技术能力。 任职要求：1.熟练掌握计算机基础、数据结构和基本算法。2.精通Python语言，熟悉Python框架知识，并至少掌握一种主流框架。3.热爱学习，喜欢钻研技术，对新技术抱有热情，有Geek精神。4.本科及以上学历，计算机或数学相关专业。5.熟练使用MySQL数据库；6.有面向对象思想；7.具有较强的团队意识，严格遵守代码规范进行开发，高度的责任感，对工作积极严谨，勇于承担压力。8.有良好的沟通和学习能力、有较强的团队协作能力以及快速解决问题的能力。
Python开发工程师,"海外,高薪",20k-40k,北京,经验1-3年,大专及以上,全职,"1．计算机及相关专业，大专以上学历。2.  对日软件开发2年以上经验。3.  日语N2以上，读写日语式样书，口语能简单交流。4．精通Python开发语言，熟悉oracle,sqlserver 数据库.5.工作地点日本东京。待遇优厚，保险完备。"
资深python开发工程师,大数据上市公司 福利待遇好 成长空间大,15k-25k,深圳,经验5-10年,本科及以上,全职, 工作职责：1、负责开发公司的各个产品的核心通用运维组件，包括健康监控、运维数据采集、性能报警、产品上线系统和其余自动化运维组件；2、与产品研发人员充分沟通，开发运维平台，保证产品的运维质量，保证产品正常运行。3、自动化运维平台研发，提升运维、开发协作效率，推进标准化运维；4、运维监控平台研发，能够主动学习新技术（如：open tsdb），熟悉zabbix、ganglia或nigios 平台的二次开发，可以通过量化指标，提升运维质量。 任职资格：1、5年以上Python开发经验，有其他语言开发经验亦可，熟悉各种powershell或bat或bash及其余SHELL脚本的编写；2、熟悉web框架、http协议；3、有优秀的系统设计和架构的意识，熟悉常用的运维系统的设计原则，熟悉软件设计模式和软件工程；4、熟悉服务器和机房运维的运维技术，熟悉各种性能计数器、健康监控、网络协议、Active Directory、WMI、SNMP、Linux下的系统调用等各种API的其中一种；5、有责任心，有良好的团队合作精神，有责任感，有较好的沟通能力，主动性强；6、对计算机相关基础知识有较好理解，了解常用数据结构和算法；7、良好的编码风格及测试习惯；8、拥有优秀的技术钻研能力和自学能力，能根据现有的知识和学习方法，不断学习自己所未知的、在实际系统运维过程中所需要的新知识。
高级爬虫工程师/python开发,"优秀团队,技术氛围好",10k-15k,长沙,经验3-5年,大专及以上,全职,1、 分析结构化和非结构化数据，并对数据进行抓取、信息提取、去重、清洗；2、 对爬取的数据进行处理与应用，负责爬虫数据的策略开发，支持业务决策。任职要求：1、 大专或以上学历，计算机软件或相关专业2、 三年及以上开发经验，有爬虫或解析相关开发经验，熟悉http协议、正则、多线程等3、 精通Python语言，熟悉scrapy和django框架4、 精通Mongodb，MySQL或者Postgresql，并有Redis的使用经验；5、 熟悉Linux日常工作环境，熟悉常用shell命令； 6、 有互联网公司爬虫架构方面经验优先；7、身体健康，有上进心，有良好的沟通能力，逻辑思维能力和团队协作能力。
Python开发工程师[亦庄],"AI,机器学习",15k-30k,北京,经验不限,本科及以上,全职,岗位职责： 1、负责后端模块调研及开发，配合团队进行产品化，保障后端服务稳定高效； 2、负责后端模块架构设计及实现，负责内部API开发及产品集成； 3、开展新技术调研及测试，用数据衡量方式不断驱动产品演进； 4、负责编写和维护接口文档；  任职要求： 1、大学本科以上学历； 2、1年以上互联网行业Python开发经验；熟悉RESTful API开发； 3、思维缜密、思路清晰，具备较好的逻辑分析能力； 4、具备良好的沟通能力和口头、书面表达能力； 5、熟悉Python等开发框架；熟练使用Linux，熟悉数据库及缓存等； 6、有爬虫、机器学习系统开发经验者优先；
python工程师,"五险一金,午餐补贴",20k-25k,深圳,经验3-5年,本科及以上,全职,岗位职责：1、数据系统的技术研发；2、后台支撑系统（监控系统，调度系统，配置系统等）的技术研发；3、深入发掘业务需求并能够敏捷的将其实现。4、参与公司产品的用户调研、需求分析、技术方案的制定并撰写相关技术文档。5、开发渲染平台相关功能Python代码；6、按照设计要求且遵循代码书写规范编写程序，并对其质量、性能负责；7、负责现有python项目的维护，新功能开发、完善、重构、以及项目整合。8、利用python构架一个高性能的计算及数据提取框架，支持前端应用。9、负责公司业务支撑系统的开发和改进，其他新兴业务后端开发任职要求：1、5年以上开发工作，3年以上python2、熟练Python语言    3、掌握Django/Flask4、熟练Linux运维     5、有数据分析方面工作经验6、熟练掌握Mysql、MongoDB数据库
Python开发工程师,"互联网,大触,人工智能,扁平化",5k-10k,天津,经验1-3年,本科及以上,全职,【工作职责】              参与妙计大数据平台、旅行知识图谱的构建；              参与数据抓取、数据清洗、数据融合、数据统计分析等工作。              【职位要求】             精通Python，2年或以上Python项目经验；熟悉网络编程、多线程编程、大规模文本数据处理等，有良好代码风格；          熟悉常见的数据结构和算法，有数据抓取/融合/挖掘经验优先；   熟悉数据库知识，熟练掌握SQL，熟悉redis/mongodb/rabbitmq等；熟练使用Linux/Mysql/Gitlab/Vim等，1年或以上Linux平台下的项目经验，有shell编程基础优先；          强烈的责任感，善于分析和解决问题，有较好的沟通和团队合作的能力。工作地点在 于！家！堡！ （划线，这里是知识点）
Python高级工程师,弹性扁平 福利棒 大牛同你一起飞,13k-26k,西安,经验5-10年,学历不限,全职,"职位描述：开发和维护公司的教育软件产品，主要基于B/S架构。我们希望你：有扎实的编程功底，热爱编程有python相关技术栈开发经验，虽然在这里你将绝不会只用一种语言和技术编程热爱且善于学习和钻研各种新技术、新语言英语水平能够支撑自己及时获取和交流最新的技术信息有良好的团队合作精神,有责任感,有较好的沟通能力我们可以提供给你的是：与国内最有经验的敏捷软件开发团队一起工作的机会，你将有机会采用最先进的技术，实践最极限的敏捷软件开发结合领先的教育理念和技术，为改善教育行业做贡献"
32-高级Python开发工程师,各项补贴 节日福利 弹性上下班 年度旅游,17k-30k,上海,经验3-5年,本科及以上,全职,岗位职责：      1)参与公司基于OpenStack的管理平台系统研究、设计和产品研发工作；     2)根据开发计划，负责云平台管理WebGUI的详细设计、开发和单元测试工作，并撰写对应文档；     任职要求：     1)熟悉Python语言及Flask、Django、SQLAlchemy等常用框架库，有3年以上基于Python的Web后端开发和设计经验，能独立完成功能实现并提供对应单元测试脚本，能灵活运用PyLint等辅助工具保证代码质量；      2)了解WEB和B/S架构服务的相关技术， 有RESTful API开发或整合的经验；     3)熟悉OpenStack ，CloudStack等开源项目，并以软件研发身份参与过虚拟化、云计算相关项目；     4)2年以上基于Linux系统的开发经验，熟悉Apache或Nginx等WEB服务器；     5)有一定前端开发基础，能基于前端框架组合和定制页面元素；     6)英语阅读能力强，能独立查阅网络技术资料、社区文档学习新的框架或解决开发中遇到的问题；     7)有较好的团队合作意识，能适应全栈团队工作方式，熟练使用Git管理代码。     
Python开发工程师,"弹性工作,全勤奖,餐补,五险一金",10k-20k,上海,经验1-3年,本科及以上,全职,工作职责： 1、使用Python完成后台服务开发、维护和技术支持等；2、按项目计划完成编码编写、内部测试等工作；3、负责API的开发、设计和维护； 4、根据公司产品需求，参与讨论技术解决方案。任职条件：1、熟悉 python 编程语言、http 协议、html、xpath等，能够熟练使用MySQL或MongoDB等数据库；2、对数据较为敏感，对数据的正确性及完整性负责；3、有处理常见爬虫问题的经验者优先；4、熟悉Scrapy，Flask，和Celery等框架，有良好的代码编写和管理习惯，熟悉Git等版本管理系统；5、熟悉分布式系统原理，理解集群开发和高可用相关实践。
Python/Rhadoop 数据挖掘,大数据项目,18k-30k,深圳,经验5-10年,大专及以上,全职,1. 悉数据挖掘流程，有5年以上大数据以及数据挖掘相关开发工作经验2. 熟悉各种挖掘算法，对模型有深刻的理解，熟知文本挖掘、聚类/分类、预测、关联等3. 熟悉大数据技术，结合分布式与数据挖掘，实现算法模型，熟悉的语言包括 R\PYTHON\MAHOUT 等，有三年以上的R/python 数据挖掘与分析项目开发经验 4. 有大规模分布式计算平台的使用和并行算法开发经验。5. 能够独立进行挖掘模型设计和开发
高级python工程师,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,40k-60k,北京,经验3-5年,本科及以上,全职,
Python 工程师,"技术培养,能力提升,培养计划,福利好",15k-30k,北京,经验1-3年,本科及以上,全职,1. 计算机基础知识扎实，包括不限定于操作系统、计算机网络、数据结构和算法2. 熟练使用 Node.js 或 Python 任意一门编程语言3. 熟悉 MongoDB、Mysql、Oracle、Redis 等数据库4. 熟悉 Web 开发，熟悉 Linux5. 具有良好的沟通能力，自我驱动能力 加分项1. 有 Docker、Kubernetes 使用经验2. 有 React.js 等前端框架使用经验3. 有大规模数据运算处理经验4. 有 Spark，Kafka 使用经验
Python工程师(新闻类),"年底双薪,项目奖金,周末双休,包吃",20k-30k,北京,经验3-5年,大专及以上,全职,岗位职责1、参与爬虫系统的架构设计与开发;2、负责网页信息抽取、数据清洗等研发和优化工作;3、参与爬虫核心算法的策略优化研究，提升网页抓取的效率和质量;4、对后台数据进行分析统计。 任职条件1、两年以上网络爬虫相关开发经验;2、三年以上Python开发和部署经验，熟悉ysql/MongoDB/Redis/Rabbitmq开发，编码能力强，基础扎实，喜欢钻研新技术;3、熟悉网页抓取原理及技术，熟悉各种网页解析的策略和算法，熟悉基于正则表达式、XPath、CSS等网页信息抽取技术，熟悉基于Cookie的网站登录原理;4、有良好的沟通能力，语言表达能力，团队协作能力，工作细心，认真负责;5、熟悉 Scrapy Django框架，等开源框架者优先;6、熟悉 java 优先。
Python 中高级工程师,"业务发展快,技术氛围浓,福利好,上升空间大",25k-50k,北京,经验3-5年,本科及以上,全职,工作内容：1、负责线上系统的研发工作，包括需求沟通，架构设计，难点突破等2、负责线上系统的性能的评估与优化工作3、负责离线模型计算性能的评估与优化工作4、负责团队研发流程的诊断与优化任职资格：1、全日制本科以上学历计算机相关专业，2年以上工作经验2、具有丰富的分布式Web开发实战经验，有团队管理经验者优先3、有对于线上系统持续运营和优化的的实战经验4、有Hadoop，MapReduce，Spark，Storm，HBase，Kafka等开发经验者优先5、强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长 
